Catalog Numb.,University,Collector,No. of spec.,YE,MO,DA,Country col.,countryCode,stateProvince,lat,lon,District,Locality col.,Elevation,geodeticDatum,coordinate Uncertainty,identifiedBy,typeStatus,kingdom,phylum,class,order,family,subfamily,genus,specificEpithet,infraspecificEpithet,Full name,taxonRank,Authorship
UNZA:11561,University of Zambia,Saili S,1,1979,1,12,Zambia,ZM,Southern,-15.3098632,27.7846692,Mazabuka,Lochinvar National Park,1105,WGS84,1530,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,tomentosa,,Isoberlinia tomentosa,Species,(Harms) Craib & Stapf
UNZA:11571,University of Zambia,Ngwenyama T,1,1979,1,11,Zambia ,ZM,Southern,-15.2443,25.169355,Namwala Dist,"Itezhi tezhi, below dam wall.",1230,WGS84,6030,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:115953,University of Zambia,Ngwenyama T,1,1996,4,18,Zambia   ,ZM,Southern,-17.8636186,25.9257567,Livingstone,Maramba River Lodge,916,WGS84,4824,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,microphylla,,Brachystegia microphylla,Species,Harms
UNZA:11599,University of Zambia,Ngwenyama T,1,1979,1,11,Zambia ,ZM,Southern,-15.2443,25.2924027,Namwala Dist,"Itezhi tezhi, below dam wall.",1230,WGS84,6030,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Brachystegia,glaucescens,,Brachystegia glaucescens,Species,(Baker) Wittm.
UNZA:11638,University of Zambia,Mercado J,1,1978,3,17,Zambia,ZM,Southern,-15.2446118,25.2133292,Namwala,"Game Management Area, Kafue East",1167,WGS84,1626,Mercado J,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Diheteropogon,,,Diheteropogon spp,Genus,
UNZA:116523,University of Zambia,Manda G,1,1998,8,,Zambia,ZM,Western,"14° 31' 12"" S","22° 46' 18"" E",Mongu,Liuwa Plains National Park,1011,WGS84,1507,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:116524,University of Zambia,Manda G,1,1998,8,,Zambia,ZM,Western,"14° 35' 12"" S","22° 46' 18"" E",Mongu,Liuwa Plains National Park,1011,WGS84,1507,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:116525,University of Zambia,Manda G,1,1998,8,,Zambia,ZM,Western,"14° 18' 10.12"" S","22° 04' 25.03"" E",Mongu,Liuwa Plains National Park,1011,WGS84,1507,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Brachystegia,schliebenii,,Brachystegia schliebenii,Species,André
UNZA:116539,University of Zambia,Mukampola R,1,1999,10,9,Zambia,ZM,Southern,-17.7783778,25.84424953,Livingstone,Mosi-oa-Tunya Reserve,944,WGS84,5273,Mukampola R,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Erythrophleum,sorghoidea,,Erythrophleum sorghoidea,Species,(Desv. ex Ham.) Hitchc. & Chase
UNZA:117325,University of Zambia,Ngwenyama T,1,1999,7,13,Zambia,ZM,Southern,-15.6719406,25.2924027,Namwala,Kafue East GMA,1250,WGS84,2006,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,glaucescens,,Brachystegia glaucescens,Species,(Baker) Wittm.
UNZA:117538,University of Zambia,Merrett L; Merrett M,1,1999,OCT,22,Zambia,ZM,Southern,-17.4666948,25.9835948,Livingstone,Zambezi River Island,916,WGS84,2054,Franks B,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:117539,University of Zambia,Merrett L; Merrett M,1,1999,OCT,22,Zambia,ZM,Southern,-17.4696597,25.5694044,Livingstone,Zambezi River Island,916,WGS84,2054,Franks B,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:117611,University of Zambia,Merrett L; Merrett M,1,1999,10,20,Zambia,ZM,Southern,-15.7216042,27.062868,Mazabuka,Kafue River Cruises,1105,WGS84,2918,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Erythrophleum,procerrima,,Erythrophleum procerrima,Species,(Hack.) Hitchc.
UNZA:117612,University of Zambia,Merrett L; Merrett M,1,1999,10,20,Zambia,ZM,Southern,-15.7327602,27.0826677,Mazabuka,Kafue River Cruises,1105,WGS84,2918,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Erythrophleum,procerrima,,Erythrophleum procerrima,Species,(Hack.) Hitchc.
UNZA:119070,University of Zambia,Merrett L; Merrett M,1,1993,7,22,Zambia,ZM,Southern,-17.7644319,25.1554514,Livingstone,Zambezi River Gorge,916,WGS84,7737,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,baikiaea,superba,,Baikiaea Superba,Species,Maguire
UNZA:11986,University of Zambia,L. Mwanawasa,1,1980,6,18,Zambia,ZA,Southern,-15.93889,25.8080889,District of Namwala,"Kafue River, Kafue NP",1198,WGS84,35931,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,boehmii,,Brachystegia boehmii,Species,Baker
UNZA:11987,University of Zambia,Mwanawasa L,1,1980,6,19,Zambia,ZM,Southern,-15.185997,25.3307486,Namwala,10 km east of Namwala town,1164,WGS84,35931,Bingham M,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Digitaria,elegans,,Digitaria elegans,Species,(Kunth) Roem. & Schult.
UNZA:121010,University of Zambia,Franks B,1,1998,8,24,Zambia,ZM,Southern,-17.2889942,25.7805587,Livingstone,Mosi-oa-Tunya Game Reserve,908,WGS84,741,Marulanda O,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Aristida,sessiliflora,,Aristida sessiliflora,Species,(Ruiz & Pav.) Mez
UNZA:121274,University of Zambia,Mwanawasa L,1,1997,12,29,Zambia,ZM,Southern,-15.3187987,27.58103,Mazabuka,Lochinvar NP,1105,WGS84,1260,Marulanda O,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,stipulata,,Brachystegia stipulata,Species,Benth.
UNZA:121879,University of Zambia,Franks B,1,2000,9,17,Zambia,ZM,Southern,-17.5420846,25.0802581,Livingstone Distr.,25 km along Livingstone-Kalomo Road,988,WGS84,263,Franks B,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Colophospermum,mopane,,Colophospermum mopane,Species,L.B. Sm.
UNZA:121913,University of Zambia,Franks B,1,1998,7,23,Zambia,ZM,Southern,-17.3414,25.6223826,Livingstone,Mosi-oa-Tunya Game Reserve,916,WGS84,1413,Marulanda O,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia  spiciformis,Species,Benth.
UNZA:122274,University of Zambia,Lungu P,1,1997,6,,Zambia   ,ZM,Southern,-17.4306479,25.1144083,Livingstone,Mosi-oa-Tunya Game Reserve,916,WGS84,1770,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia  spiciformis,Species,Benth.
UNZA:122329,University of Zambia,Phiri S,1,2000,5,24,Zambia,ZM,Southern,-17.26872,27.44013,Choma,Nkanga Riv. Cons. Area,1320,WGS84,15762,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Cymbopogon,sessiliflora,,Cymbopogon sessiliflora,Species,(Ruiz & Pav.) Mez
UNZA:122471,University of Zambia,Ngwenyama T,1,2000,5,23,Zambia,ZM,Southern,-15.93889,25.8080889,Namwala,"Kafue River, Kafue NP",1209,WGS84,1190,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,bakeriana,,Brachystegia bakeriana,Species,(Carrière) Baker
UNZA:122471,University of Zambia,Manda G,1,2000,5,23,Zambia,ZM,Western Prov.,"16° 4' 20.210"" S","24° 38' 20.440"" E",Sesheke,"Sesheke town, 15 km east",1266,WGS84,1190,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Brachystegia,boehmii,,Brachystegia boehmii,Species,Baker
UNZA:122482,University of Zambia,Manda G,1,2000,5,24,Zambia,ZM,Western Prov.,"17° 37' 1.7"" S","25° 39' 6.8"" E",Sesheke Dist.,Sililo,1266,WGS84,699,Bingham M,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Digitaria,elegans,,Digitaria elegans,Species,(Kunth) Roem. & Schult.
UNZA:123176,University of Zambia,Phiri S,1,1998,3,,Zambia,ZM,Southern,-15.7243062,25.3706422,District of Namwala,Outskirts of Namwala,1198,WGS84,3016,Mukampola R,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tamarindus,indica,,Tamarindus indica,Species,(Mez) M.A. Spencer & L.B. Sm.
UNZA:124811,University of Zambia,Manda G,1,1999,8,22,Zambia,ZM,Western,"16° 37' 1.7"" S","24° 39' 6.8"" E",Sesheke,Katundu,1266,WGS84,1423,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Brachystegia,schliebenii,,Brachystegia schliebenii,Species,André
UNZA:12486,University of Zambia,Saili S,1,1981,6,16,Zambia,ZM,Southern,-15.6714453,27.3115491,Mazabuka,"South of Mazabuka, on Choma Road",1105,WGS84,12884,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,floribunda,,Brachystegia floribunda,Species,Mez & Pittier ex Mez
UNZA:124894,University of Zambia,Ngwenyama T,1,1999,6,11,Zambia,ZM,Southern,-15.185997,25.9144835,Namwala,10 km east of Namwala town,1209,WGS84,1190,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,microphylla,,Brachystegia microphylla,Species,Harms
UNZA:12672,University of Zambia,Ngwenyama T,1,1981,6,20,Zambia,ZM,Southern,"17° 40' 30"" S","25° 39' 39"" E",Livingstone,Livingstone GR,916,WGS84,1768,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Peltophorum,alpestris,,Peltophorum alpestris,Species,(Körn.) Tissot-Squalli
UNZA:129955,University of Zambia,Ngwenyama T,1,1999,8,29,Zambia,ZM,Southern,-15.4188428,26.9187414,Namwala,"Kalala Island, Itezhi-tezhi Dam",1164,WGS84,2538,Bingham M,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Digitaria,indica,,Digitaria indica,Species,(L.) Gaertn.
UNZA:132922,University of Zambia,Ngwenyama T,1,1999,3,26,Zambia,ZM,Southern,-15.373889,26.318494,Namwala,Kafue NP,1250,WGS84,1861,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Colophospermum,mopane,,Colophospermum mopane,Species,L.B. Sm.
UNZA:13494,University of Zambia,Banda G,1,1981,12,3,Zambia,ZM,Southern,-17.4715014,25.7111793,Livingstone,Outskirts of Livingstone,916,WGS84,1600,Franks B,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:135891,University of Zambia,Ngwenyama T,1,2001,6,15,Zambia,ZM,Southern,-17.4666948,25.9835948,Livingstone Distr.,25 km along Livingstone-Kalomo Road,988,WGS84,844,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,microphylla,,Brachystegia microphylla,Species,Harms
UNZA:137159,University of Zambia,Franks B,1,2015,,,Zambia,ZM,Southern,-17.7468511,25.9212555,Livingstone,Zambezi River Gorge,916,WGS84,183,Mukampola R,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Cymbopogon,sessiliflora,,Cymbopogon sessiliflora,Species,(Ruiz & Pav.) Mez
UNZA:137773,University of Zambia,Saili S,1,1998,12,10,Zambia,ZM,Southern,-15.6750089,27.6609383,Mazabuka,South of Kafue River Bridge,1105,WGS84,413,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,maidifolia,,Tessmannia maidifolia,Species,Mez
UNZA:138172,University of Zambia,Ngwenyama T,1,2000,9,27,Zambia,ZM,Southern,-15.2255308,25.9144835,Namwala,"Kafue River Lodge, KNP",,WGS84,144,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,glaucescens,,Brachystegia glaucescens,Species,(Baker) Wittm.
UNZA:140135,University of Zambia,Merrett L; Merrett M,1,2004,2,19,Zambia,ZM,Southern,-17.72852,25.3207015,Livingstone,"Rapid 11, Zambezi River Gorge",916,WGS84,1049,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,tomentosa,,Isoberlinia tomentosa,Species,(Harms) Craib & Stapf
UNZA:141639,University of Zambia,Phiri S,1,2001,10,2,Zambia,ZM,Southern,-15.5124396,25.6279568,District of Namwala,M11 to Choma,1198,WGS84,2280,Bingham Mike,,Plants,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,longifolia,,Brachystegia longifolia,Species,Baker
UNZA:144625,University of Zambia,Colebrook-Robjent J,1,1999,9,11,Zambia,ZM,Southern,-17.8908309,25.6137227,Livingstone,Tongabezi,908,WGS84,1004,Merrett L; Merrett M,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Aristida,sessiliflora,,Aristida sessiliflora,Species,(Ruiz & Pav.) Mez
UNZA:144779,University of Zambia,Colebrook-Robjent J,1,2003,3,19,Zambia,ZM,Southern,-15.5546708,25.2422108,Namwala,"Game Management Area, Kafue East",1300,WGS84,3577,Colebrook-Robjent J,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tylosema,serrata,,Tylosema serrata,Species,(L.B. Sm.) Givnish
UNZA:144787,University of Zambia,Colebrook-Robjent J,1,2003,3,19,Zambia,ZM,Southern,-15.5995834,25.169355,Namwala,"Game Management Area, Kafue East",1300,WGS84,3577,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tylosema,serrata,,Tylosema serrata,Species,(L.B. Sm.) Givnish
UNZA:144788,University of Zambia,Colebrook-Robjent J,1,2003,3,19,Zambia,ZM,Southern,-15.6719406,25.2924027,Namwala,Kafue East GMA,1300,WGS84,3577,Colebrook-Robjent J,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tylosema,serrata,,Tylosema serrata,Species,(L.B. Sm.) Givnish
UNZA:144925,University of Zambia,Stjernstedt RJ,1,2002,6,28,Zambia,ZM,Southern,-15.5898156,27.8465664,Mazabuka,"South of Mazabuka, on Choma Road",1105,WGS84,3651,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,angolensis ,,Isoberlinia angolensis ,Species,(Benth.) Hoyle & Brenan
UNZA:146735,University of Zambia,Merrett L; Merrett M,1,2005,2,28,Zambia,ZM,Southern,-17.4072073,25.0487179,Livingstone,Zambezi Boat Club,944,WGS84,4444,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,tomentosa,,Isoberlinia tomentosa,Species,(Harms) Craib & Stapf
UNZA:146736,University of Zambia,Merrett L; Merrett M,1,2005,2,28,Zambia,ZM,Southern,-17.4100571,25.5962145,Livingstone,"Zambezi River bank, 15 km above the falls",944,WGS84,4444,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,tomentosa,,Isoberlinia tomentosa,Species,(Harms) Craib & Stapf
UNZA:146737,University of Zambia,Merrett L; Merrett M,1,2005,2,28,Zambia,ZM,Southern,-17.4114231,25.18308898,Livingstone,"Zambezi River bank, 15 km above the falls",944,WGS84,4444,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,tomentosa,,Isoberlinia tomentosa,Species,(Harms) Craib & Stapf
UNZA:146837,University of Zambia,Merrett L; Merrett M,1,2005,3,3,Zambia,ZM,Southern,-17.4863769,25.5676366,Livingstone,Zambezi River Island,944,WGS84,4444,Bruce-Miller I,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,tomentosa,,Isoberlinia tomentosa,Species,(Harms) Craib & Stapf
UNZA:146838,University of Zambia,Merrett L; Merrett M,1,2005,3,3,Zambia,ZM,Southern,-17.4882065,25.0195979,Livingstone,Zambezi River Island,944,WGS84,4444,Bruce-Miller I,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,tomentosa,,Isoberlinia tomentosa,Species,(Harms) Craib & Stapf
UNZA:146839,University of Zambia,Merrett L; Merrett M,1,2005,3,3,Zambia,ZM,Southern,-17.5036894,25.2517585,Livingstone,Zambezi River Island,944,WGS84,4444,Bruce-Miller I,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,tomentosa,,Isoberlinia tomentosa,Species,(Harms) Craib & Stapf
